"County","pct_hogan","pct_cox"
"Allegany",81.6964854872296,66.0948922547661
"Anne Arundel",68.4656826664692,43.7709139236301
"Baltimore City",31.5867526155412,8.85644731008843
"Baltimore County",61.0128047991821,35.7383404212008
"Calvert",75.2516010978957,54.8039215686275
"Caroline",82.3697916666667,64.7075798383994
"Carroll",82.9205784322838,58.2174283281294
"Cecil",77.4135415772762,65.2169228559115
"Charles",49.3097933261906,30.2452316076294
"Dorchester",74.3658103086121,56.6275013769047
"Frederick",67.5190292743752,44.7486693666488
"Garrett",85.9840232389252,74.5271007639141
"Harford",76.9561960122395,53.7394057930521
"Howard",56.0744931832891,27.3189326556544
"Kent",73.2015628591128,45.1268357810414
"Montgomery",44.0306520532131,19.9531601596226
"Prince George's",28.1878879067143,8.83696182326076
"Queen Anne's",84.6300715990453,57.6974925856026
"Saint Mary's",75.8979556522384,56.6844919786096
"Somerset",67.6417056682267,61.8232731798382
"Talbot",77.2535249903989,46.8065180745458
"Washington",76.7730180421049,59.8874842521395
"Wicomico",67.5259268089164,52.5838491435152
"Worcester",76.0326406999243,59.5196951570739
